author,comment,likes,published_at
@FilmCerita-i4l,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0,2025-12-14T13:51:00Z
@fatinpramudya2270,"Orang setulus ini dan masyarakat setulus ini buat membantu warga yang terdampak bencana masih dijulidin sama ""pemerintah"" jahat banget ""mereka orang pemerintahan itu"" merasa paling berjasa padahal itu juga uang rakyat. Ga pantes banget dihormati. Semoga balasannya bagi orang-orang baik seperti bang ferry dan masyarakat yg membantu diberi rezeki yang berkah. Semoga orang yng jahat dan julid serta berperan terhadap penyebab bencana ini dibalas dengan balasan yang pedih oleh Allah SWT",1,2025-12-14T13:24:48Z
@DavinoArka,"PK PRABOWO KMNA ..???? NANTI SAAT PIDATO BILNG ,BERJUANG DEMI RAKYAT ,ADA YG KRITIK NANTI  BILNG  RAKYAT SETINGAN POLITIK  .. BERTANGGUNG JWB lAH SEBAGAI KPLA NEGARA  dan BOS SAWIT ..RAKYATNYA SUSAH KRNA BENCANA YG DI BUAT OLIGARKI ,MANA JGN OMON OMON DOANG PAK.",0,2025-12-14T13:11:46Z
@daniyaf3729,Liat yg ceritain kronologis pas kejadian banjir tp masih bisa sambil tersenyum...beneran tabah bgt,0,2025-12-14T12:37:40Z
@chandrafirdausi3639,"Masya Allah, telat liat video ini, ujungnya banjir airmata... U're the man and the true hero guys!",0,2025-12-14T12:35:32Z
@a.ditaaa,Ya Allah selama nonton nangis trs,0,2025-12-14T12:19:35Z
@fiefiemachfoodz1351,"Terima kasih orang² baik yang sudah member samai saudara² kita yang sedang tertimpa musibah ...
Semoga mereka di beri kekuatan dan ketabahan ..",1,2025-12-14T12:15:44Z
@RahmaWati-s5w,Bantu terus mas bro,0,2025-12-14T11:07:06Z
@Aubrey1601,Thanks!,1,2025-12-14T06:18:33Z
@Ralinenafaalisyah,jos,0,2025-12-14T06:15:31Z
@Alfan_Huda,terimakasih Fery Irwandi....kang Dedi mulyadi...dan relawan yang membantu korban banjir di Sumatra,1,2025-12-14T06:07:55Z
@rekalfungki9306,"si paling aceh yg jauh lebih berguna dari tukang yaping, bravo si paling aceh, salam hormat bang ferry irwandi 🫡",0,2025-12-14T05:48:54Z
@infoselebritisofficial5463,"Sedetail itu bang kasih bantuan , pembalut juga ada, proud of you bang",0,2025-12-14T05:45:07Z
@fas1136,10:36 Allahuakbar 1 liter bahan bakar 200 ribu🥲. Semoga seluruh konglomerat terbuka hatinya berdonasi hingga penuh 1 kapal tanker.,0,2025-12-14T05:37:12Z
@WongNdeso-c7b,Terimakasih bang Ferry dan seluruh masyarakat Indonesia....🙏🙏🙏🙏🎉🎉🎉🎉🎉,0,2025-12-14T03:41:48Z
@amirfirli7180,"Bencana terbesar adalah ""PEMERINTAH""",0,2025-12-14T03:24:40Z
@DogolS,"BANG JAGA DIRI BAEK2 YA BANG,.jangan sampai lengah,.banyak yang ngak suka karena kerja baikmu",0,2025-12-14T03:10:45Z
@khairulibad4191,"Barakallah Ferry Irwandi, Allah muliakan .....👍👍👍🙏🙏🙏",0,2025-12-14T02:58:43Z
@HenriGrag,"Ya Allah kuatkan lah mereka dari ujian yg kau berikan
Semoga bang Fery n kawan relawan yg lain diberikan kesehatan
Dlm bencana knpa da saja yg memanfaatkan dgn jual harga bensin yg gila harganya harus nya Pertamina memberikan secara gratis .untuk para korban bencana 
Pemerintah kita kurang peka",0,2025-12-14T01:17:37Z
@sayanganak1103,aku akan support channel abang ini biar berkembang dan nanti kedepannya bisa banyak bermanfaat untuk masyarakat,0,2025-12-13T22:40:42Z
@sayanganak1103,"nangis aku bang lihat, aku gak bisa bayangin kalau gak ada orang orang yang kayak abang ini,",0,2025-12-13T22:39:50Z
@kingphantomzin,"yang kayak begini di bilang sok ke aceh an ? sok jadi pahlawan ? dari video yg beredar pun terlihat siapa yang tulus siapa yang membantu cuma buat popularitas , pemerintah emang memberi bantuan tpi tidak semuanya sampai ke tujuan 🫵, proud of you guys ,,, satu lagi dari sabang sampai marauke kita ini saudara stop statement jawa, sumatra, kalimantan , papua , sulawesi dengan kenegatif an yg kalian ucapkan di sosial media dan saling singgung antar pulau , rasis dll🫵",0,2025-12-13T22:11:22Z
@yogaandre7321,kita butuh orang yang kaya gini 10 orang aja udah kelarin pemeritahan yang sangat membaggong kan,1,2025-12-13T19:41:08Z
@kabarselayarofficial5199,"Sedih.. Banayak kata, kalimat yg tak bjsa keluaar liat kondisi mereka",0,2025-12-13T17:58:56Z
@indahbudiarti7008,Terusin,0,2025-12-13T14:45:36Z
@NoName-en1fo,"Emosional moment, thanks",1,2025-12-13T14:12:07Z
@DanakuTambang-wq7mk,Ya ampun iklan pinjol iklan pinjol menjamur kali sumpah. Komdigi kerja nya apa seeeehh???,0,2025-12-13T14:08:46Z
